Bicycle_routes,linear_color_weighting,Previous_accidents,Day,Sex,Age_rangue,Hourly_range,Lanes,Speed_limit,Bikeway,Public_transport,Traffic_light,Street_type,vehicle_type,Traffic_variable,Bicycle_routes_cat,predominant_color,diffuse_logic_traffic,label
0,0.352758426,2,Wednesday,F,40-49,18:00 a 19:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Trafico moderado,No,green,MB,1
0,0.25,2,Sunday,M,30-39,0:00 a 01:59,3,50km/h,Yes,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,1
277,0.29314616,1,Monday,M,50-59,10:00 a 11:59,3,50km/h,Yes,Yes,No,Avenue,Private_car,Poco trafico,Yes,green,B,1
0,0.308995454,2,Tuesday,M,50-59,14:00 a 15:59,4,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,1
0,0.330503029,2,Tuesday,M,70+,20:00 a 21:59,3,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Poco trafico,No,green,MB,1
0,0.402813881,1,Wednesday,M,60-69,18:00 a 19:59,1,50km/h,No,Yes,Yes,Street,Truck,Poco trafico,No,green,MB,1
0,0.404200621,1,Sunday,M,0-19,18:00 a 19:59,2,50km/h,Yes,Yes,No,Avenue,Truck,Poco trafico,No,green,MB,1
0,0.25,0,Sunday,M,50-59,10:00 a 11:59,3,50km/h,No,Yes,Yes,Avenue,Private_car,Trafico moderado,No,green,B,1
363,0.331740231,1,Friday,M,50-59,18:00 a 19:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Trafico moderado,Yes,green,B,1
0,0,0,Monday,M,20-29,20:00 a 21:59,2,80km/h,No,Yes,No,Highway,Private_car,Poco trafico,No,green,B,1
349,0.387744113,1,Sunday,M,30-39,10:00 a 11:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Trafico moderado,Yes,green,MB,1
0,0.265192308,0,Sunday,M,70+,12:00 a 13:59,3,50km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,No,green,B,1
0,0.341087169,0,Friday,M,0-19,18:00 a 19:59,1,50km/h,No,Yes,No,Street,Passenger_vehicle,Trafico moderado,No,green,MB,1
0,0.478703176,0,Thursday,M,30-39,18:00 a 19:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Trafico moderado,No,green,MB,1
0,0.334384093,0,Sunday,M,0-19,22:00 a 23:59,1,50km/h,No,Yes,No,Street,Private_car,Trafico moderado,No,green,MB,1
388,0.475386557,4,Saturday,M,50-59,20:00 a 21:59,3,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,Yes,orange,MA,1
212,0.28039264,0,Saturday,M,70+,08:00 a 09:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,Yes,green,B,1
0,0.25,2,Thursday,M,70+,20:00 a 21:59,6,60km/h,No,Yes,No,Peripheral,Private_car,Poco trafico,No,green,B,1
0,0.296348315,0,Saturday,M,0-19,18:00 a 19:59,3,50km/h,Yes,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,1
0,0,1,Saturday,M,20-29,18:00 a 19:59,5,60km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,No,green,B,1
0,0.278856826,3,Friday,M,50-59,0:00 a 01:59,3,50km/h,No,Yes,Yes,Street,Passenger_vehicle,Poco trafico,No,green,B,1
0,0.37444002,0,Sunday,M,0-19,12:00 a 13:59,2,50km/h,No,Yes,No,Street,Passenger_vehicle,Poco trafico,No,green,MB,1
0,0.25135257,0,Friday,M,40-49,20:00 a 21:59,2,80km/h,No,Yes,No,Highway,Private_car,Trafico moderado,No,green,B,1
438,0.339977852,1,Thursday,M,60-69,22:00 a 23:59,3,50km/h,Yes,Yes,Yes,Avenue,Private_car,Poco trafico,Yes,green,B,1
9,0.261858798,1,Monday,M,50-59,08:00 a 09:59,5,60km/h,No,Yes,No,Peripheral,Private_car,Poco trafico,Yes,green,B,0
0,0.288527397,0,Saturday,M,30-39,22:00 a 23:59,2,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,B,0
56,0.295541707,3,Sunday,F,20-29,20:00 a 21:59,4,50km/h,No,Yes,Yes,Avenue,Private_car,Trafico moderado,Yes,green,B,1
0,0.331700627,0,Monday,M,30-39,20:00 a 21:59,1,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Trafico moderado,No,green,MB,0
0,0.351810826,0,Wednesday,M,0-19,18:00 a 19:59,1,50km/h,No,Yes,No,Street,Passenger_vehicle,Trafico moderado,No,green,MB,0
800,0.447785675,1,Tuesday,M,20-29,16:00 a 17:59,2,50km/h,No,Yes,Yes,Street,Passenger_vehicle,Poco trafico,Yes,green,MB,0
0,0,0,Wednesday,M,40-49,06:00 a 07:59,4,60km/h,No,Yes,No,Peripheral,Passenger_vehicle,Poco trafico,No,green,B,0
0,0.39389313,0,Friday,M,30-39,06:00 a 07:59,3,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Trafico moderado,No,orange,MB,0
0,0.44434968,0,Saturday,M,0-19,10:00 a 11:59,3,50km/h,No,Yes,No,Avenue,Truck,Poco trafico,No,green,MA,0
417,0.301508745,2,Wednesday,M,20-29,10:00 a 11:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Trafico moderado,Yes,green,B,0
0,0.25,1,Saturday,M,20-29,06:00 a 07:59,2,50km/h,No,Yes,No,Street,Private_car,Poco trafico,No,green,B,1
0,0.406365125,0,Thursday,M,20-29,10:00 a 11:59,4,50km/h,No,Yes,No,Avenue,Truck,Poco trafico,No,green,MB,0
0,0.377735774,2,Friday,M,20-29,12:00 a 13:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,MB,0
0,0.405934833,0,Monday,M,0-19,14:00 a 15:59,3,50km/h,Yes,Yes,Yes,Avenue,Truck,Trafico moderado,No,green,MB,0
0,0.667194929,1,Tuesday,M,50-59,08:00 a 09:59,3,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,red,MA,0
0,0.449838623,0,Saturday,M,20-29,12:00 a 13:59,2,50km/h,No,Yes,No,Street,Private_car,Trafico moderado,No,green,MB,0
0,0.42225408,1,Sunday,M,20-29,18:00 a 19:59,3,50km/h,No,Yes,Yes,Avenue,Private_car,Trafico moderado,No,green,MA,0
0,0.291990669,0,Tuesday,M,0-19,0:00 a 01:59,2,50km/h,Yes,Yes,Yes,Avenue,Private_car,Poco trafico,No,green,B,1
0,0.38295314,0,Tuesday,M,0-19,14:00 a 15:59,1,50km/h,No,Yes,Yes,Street,Private_car,Trafico moderado,No,green,MB,0
351,0.310683868,0,Wednesday,M,40-49,18:00 a 19:59,4,50km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,Yes,green,B,0
593,0.409020817,0,Wednesday,M,20-29,08:00 a 09:59,1,50km/h,No,Yes,No,Street,Private_car,Trafico moderado,Yes,orange,MB,0
0,0.281396839,1,Friday,M,0-19,18:00 a 19:59,4,50km/h,Yes,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,B,0
15,0.637011014,0,Sunday,M,20-29,14:00 a 15:59,1,50km/h,No,Yes,Yes,Street,Private_car,Trafico moderado,Yes,red,MA,0
0,0.380139945,0,Thursday,M,40-49,08:00 a 09:59,3,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Poco trafico,No,green,MB,0
1477,0.5429939,0,Friday,M,20-29,14:00 a 15:59,1,50km/h,No,Yes,Yes,Street,Passenger_vehicle,Trafico moderado,Yes,orange,MA,0
0,0.435317034,4,Tuesday,M,20-29,10:00 a 11:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,No,green,MA,0
0,0.25,1,Wednesday,M,50-59,20:00 a 21:59,4,80km/h,No,Yes,No,Highway,Private_car,Poco trafico,No,green,B,0
0,0.436717352,2,Thursday,M,50-59,22:00 a 23:59,4,50km/h,No,Yes,Yes,Avenue,Private_car,Trafico moderado,No,orange,MB,1
0,0.255121436,0,Friday,M,0-19,14:00 a 15:59,1,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Trafico moderado,No,green,B,0
0,0.482467935,0,Saturday,F,50-59,08:00 a 09:59,3,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Poco trafico,No,green,MA,1
0,0.25,1,Monday,M,40-49,22:00 a 23:59,5,60km/h,No,Yes,No,Peripheral,Private_car,Poco trafico,No,green,B,1
0,0.408460668,0,Monday,M,30-39,08:00 a 09:59,6,60km/h,No,Yes,Yes,Peripheral,Passenger_vehicle,Mucho trafico,No,green,MA,0
0,0.299509725,0,Friday,M,50-59,20:00 a 21:59,1,50km/h,No,Yes,No,Street,Private_car,Poco trafico,No,green,B,0
0,0,0,Saturday,M,40-49,18:00 a 19:59,4,80km/h,No,No,No,Peripheral,Passenger_vehicle,Poco trafico,No,green,B,0
174,0.32339977,1,Saturday,M,0-19,16:00 a 17:59,3,50km/h,No,Yes,Yes,Avenue,Train,Poco trafico,Yes,green,B,0
1,0.267958145,0,Monday,M,20-29,08:00 a 09:59,2,50km/h,No,Yes,No,Street,Passenger_vehicle,Poco trafico,Yes,green,B,0
0,0.296182397,1,Tuesday,M,60-69,14:00 a 15:59,1,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,0
731,0.318398521,2,Tuesday,M,30-39,14:00 a 15:59,2,50km/h,No,Yes,Yes,Street,Private_car,Trafico moderado,Yes,green,B,0
0,0.25,0,Wednesday,M,60-69,14:00 a 15:59,2,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,0
13,0.390198968,0,Tuesday,M,40-49,18:00 a 19:59,1,50km/h,No,Yes,Yes,Street,Passenger_vehicle,Trafico moderado,Yes,green,MB,1
0,0.446788057,0,Thursday,M,60-69,10:00 a 11:59,1,50km/h,No,No,No,Avenue,Private_car,Mucho trafico,No,orange,MB,0
0,0.25,0,Friday,M,30-39,06:00 a 07:59,6,30km/h,No,Yes,No,Peripheral,Private_car,Poco trafico,No,green,B,0
0,0,0,Saturday,M,0-19,12:00 a 13:59,1,50km/h,No,No,No,Street,Truck,Poco trafico,No,green,B,1
4,0.270614693,0,Wednesday,M,20-29,22:00 a 23:59,3,50km/h,No,Yes,No,Street,Private_car,Poco trafico,Yes,green,B,0
0,0.296882061,1,Saturday,M,0-19,16:00 a 17:59,2,50km/h,No,Yes,Yes,Street,Truck,Poco trafico,No,green,B,0
947,0.281434301,0,Wednesday,M,20-29,10:00 a 11:59,4,50km/h,Yes,Yes,Yes,Avenue,Private_car,Poco trafico,Yes,green,B,0
0,0.385281586,0,Thursday,M,30-39,08:00 a 09:59,3,40km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,MB,0
0,0.578475336,0,Friday,M,40-49,12:00 a 13:59,3,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,MA,1
0,0.264653641,0,Friday,M,50-59,06:00 a 07:59,4,50km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,No,green,B,1
0,0.310785587,2,Friday,M,20-29,20:00 a 21:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,B,0
0,0.304767184,1,Saturday,M,40-49,12:00 a 13:59,4,50km/h,No,Yes,No,Avenue,Private_car,Trafico moderado,No,green,B,0
710,0.347714633,0,Thursday,M,20-29,16:00 a 17:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,Yes,green,MB,0
0,0.25,0,Thursday,M,60-69,14:00 a 15:59,1,50km/h,No,No,No,Street,Passenger_vehicle,Trafico moderado,No,green,B,0
257,0.269619865,1,Monday,M,20-29,12:00 a 13:59,1,40km/h,No,Yes,No,Street,Private_car,Trafico moderado,Yes,green,B,0
0,0.25,0,Tuesday,M,50-59,08:00 a 09:59,1,50km/h,No,No,No,Avenue,Truck,Trafico moderado,No,green,B,0
0,0.368882979,3,Wednesday,M,50-59,06:00 a 07:59,5,60km/h,No,Yes,Yes,Peripheral,Passenger_vehicle,Poco trafico,No,green,MB,0
0,0.276232114,3,Thursday,M,40-49,20:00 a 21:59,5,60km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,No,green,B,0
0,0.426572056,0,Monday,F,20-29,14:00 a 15:59,3,80km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Trafico moderado,No,green,MB,0
1156,0.471069869,1,Tuesday,M,60-69,06:00 a 07:59,2,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Trafico moderado,Yes,orange,MB,0
0,0.288522727,1,Tuesday,M,20-29,22:00 a 23:59,1,50km/h,No,Yes,No,Street,Passenger_vehicle,Poco trafico,No,green,B,0
49,0.477876393,0,Friday,M,0-19,14:00 a 15:59,2,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,Yes,green,MA,0
0,0.25,0,Friday,M,60-69,06:00 a 07:59,2,50km/h,No,Yes,No,Street,Private_car,Poco trafico,No,green,B,0
0,0.453640222,0,Friday,M,40-49,10:00 a 11:59,1,50km/h,No,Yes,No,Street,Multiple_collision,Poco trafico,No,orange,MB,0
0,0.25,2,Sunday,M,20-29,22:00 a 23:59,2,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,0
0,0,0,Monday,M,0-19,20:00 a 21:59,1,50km/h,No,Yes,No,Street,Passenger_vehicle,Poco trafico,No,green,B,0
0,0.358232285,2,Friday,M,60-69,10:00 a 11:59,2,40km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,No,green,MB,0
176,0.305092472,0,Saturday,M,30-39,06:00 a 07:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,Yes,green,B,0
0,0.409864579,1,Tuesday,M,30-39,14:00 a 15:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Trafico moderado,No,green,MB,1
0,0.25,2,Tuesday,M,30-39,14:00 a 15:59,3,50km/h,Yes,Yes,No,Avenue,Truck,Poco trafico,No,green,B,1
0,0.25,1,Tuesday,M,30-39,12:00 a 13:59,3,50km/h,No,Yes,No,Avenue,Truck,Poco trafico,No,green,B,1
0,0.382643607,0,Saturday,M,0-19,08:00 a 09:59,2,50km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,No,orange,MB,0
0,0.25,0,Wednesday,M,60-69,10:00 a 11:59,2,50km/h,No,Yes,No,Street,Truck,Poco trafico,No,green,B,0
0,0.33601177,1,Monday,M,30-39,22:00 a 23:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,MB,1
567,0.328886311,0,Tuesday,M,40-49,12:00 a 13:59,1,50km/h,No,Yes,No,Street,Private_car,Mucho trafico,Yes,green,B,0
0,0.330501973,3,Tuesday,M,30-39,14:00 a 15:59,4,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,0
762,0.362672018,1,Wednesday,F,20-29,0:00 a 01:59,1,50km/h,No,Yes,No,Street,Private_car,Poco trafico,Yes,green,MB,0
0,0.38547092,0,Thursday,M,30-39,14:00 a 15:59,4,50km/h,No,Yes,No,Avenue,Private_car,Trafico moderado,No,green,MB,0
69,0.577066116,1,Thursday,F,30-39,10:00 a 11:59,4,50km/h,No,Yes,Yes,Avenue,Private_car,Trafico moderado,Yes,orange,MB,0
0,0.272479399,0,Friday,M,20-29,12:00 a 13:59,3,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Trafico moderado,No,green,B,0
1,0.285622179,0,Friday,M,60-69,10:00 a 11:59,3,50km/h,No,Yes,No,Avenue,Truck,Poco trafico,Yes,green,B,0
0,0.25,1,Tuesday,M,20-29,22:00 a 23:59,2,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Poco trafico,No,green,B,0
0,0.335690165,0,Thursday,M,20-29,12:00 a 13:59,3,80km/h,No,Yes,No,Highway,Private_car,Poco trafico,No,green,MB,0
0,0.25,1,Saturday,M,60-69,14:00 a 15:59,2,60km/h,No,Yes,No,Avenue,Truck,Poco trafico,No,green,B,0
0,0.25,1,Friday,M,0-19,10:00 a 11:59,1,50km/h,No,Yes,No,Street,Truck,Poco trafico,No,green,B,0
0,0.389631098,1,Wednesday,M,30-39,18:00 a 19:59,2,50km/h,No,Yes,Yes,Avenue,Private_car,Trafico moderado,No,green,MB,0
0,0.402226001,1,Wednesday,M,20-29,16:00 a 17:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,No,green,MB,1
0,0.503311258,1,Friday,M,30-39,12:00 a 13:59,2,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Trafico moderado,No,orange,MA,0
0,0,0,Thursday,M,20-29,08:00 a 09:59,2,50km/h,No,Yes,No,Street,Private_car,Trafico moderado,No,green,B,0
0,0.25,0,Friday,M,60-69,22:00 a 23:59,1,50km/h,No,Yes,No,Street,Truck,Poco trafico,No,green,B,0
496,0.372081218,0,Sunday,M,0-19,22:00 a 23:59,1,50km/h,No,No,No,Street,Private_car,Poco trafico,Yes,green,MB,0
228,0.52005827,0,Friday,M,20-29,10:00 a 11:59,3,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,Yes,orange,MA,0
51,0.25,0,Tuesday,M,20-29,16:00 a 17:59,2,50km/h,No,No,No,Street,Private_car,Trafico moderado,Yes,green,B,0
0,0.528531218,0,Thursday,M,20-29,08:00 a 09:59,6,60km/h,No,Yes,Yes,Peripheral,Passenger_vehicle,Trafico moderado,No,orange,MA,0
0,0.381465103,2,Friday,M,20-29,18:00 a 19:59,2,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Trafico moderado,No,green,MB,0
0,0.448529412,0,Saturday,M,50-59,10:00 a 11:59,1,50km/h,No,No,No,Street,Passenger_vehicle,Poco trafico,No,green,MA,1
0,0.328767123,0,Monday,M,50-59,08:00 a 09:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Trafico moderado,No,green,B,1
49,0.25,0,Monday,M,50-59,06:00 a 07:59,1,50km/h,No,No,No,Street,Bicycle,Poco trafico,Yes,green,B,0
0,0.35609879,1,Sunday,M,0-19,22:00 a 23:59,1,50km/h,No,No,No,Street,Private_car,Poco trafico,No,green,MB,0
146,0.358218962,0,Sunday,M,50-59,10:00 a 11:59,1,50km/h,No,Yes,No,Avenue,Truck,Trafico moderado,Yes,green,MB,0
0,0.375614787,0,Tuesday,M,60-69,10:00 a 11:59,4,50km/h,No,Yes,Yes,Avenue,Private_car,Trafico moderado,No,green,MB,0
25,0.287584628,0,Saturday,M,60-69,20:00 a 21:59,1,50km/h,No,No,No,Avenue,Private_car,Poco trafico,Yes,green,B,0
0,0.280050826,2,Saturday,M,0-19,0:00 a 01:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,B,0
38,0.311227913,0,Thursday,M,30-39,16:00 a 17:59,3,50km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,Yes,green,B,0
92,0,0,Monday,M,30-39,22:00 a 23:59,4,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Poco trafico,Yes,green,B,0
0,0.357729332,0,Tuesday,M,20-29,14:00 a 15:59,3,50km/h,No,Yes,Yes,Avenue,Multiple_collision,Poco trafico,No,green,MB,0
237,0.330893683,1,Wednesday,M,50-59,12:00 a 13:59,4,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Trafico moderado,Yes,green,MB,0
0,0.358593959,1,Saturday,F,20-29,18:00 a 19:59,3,50km/h,No,Yes,No,Avenue,Private_car,Trafico moderado,No,green,MB,0
629,0.279582929,2,Tuesday,M,40-49,18:00 a 19:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,Yes,green,B,0
0,0.411655874,1,Wednesday,F,50-59,12:00 a 13:59,1,50km/h,No,No,No,Street,Truck,Trafico moderado,No,orange,MB,0
0,0.25,0,Wednesday,M,50-59,20:00 a 21:59,1,50km/h,No,No,No,Street,Private_car,Poco trafico,No,green,B,0
999,0.295154723,2,Friday,M,20-29,06:00 a 07:59,3,50km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,Yes,green,B,0
0,0.333740831,0,Friday,M,50-59,08:00 a 09:59,4,50km/h,No,Yes,No,Avenue,Truck,Trafico moderado,No,green,MB,0
0,0.369328003,2,Thursday,M,0-19,08:00 a 09:59,4,80km/h,No,Yes,No,Peripheral,Private_car,Trafico moderado,No,green,MB,0
266,0.251960784,2,Saturday,F,20-29,14:00 a 15:59,2,50km/h,No,Yes,No,Avenue,Private_car,Trafico moderado,Yes,green,B,0
0,0.417275574,0,Sunday,F,50-59,20:00 a 21:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Trafico moderado,No,orange,MB,0
0,0.459586466,0,Saturday,M,30-39,12:00 a 13:59,3,50km/h,No,Yes,Yes,Avenue,Private_car,Trafico moderado,No,green,MA,0
0,0.332615973,0,Saturday,M,20-29,16:00 a 17:59,2,50km/h,No,No,No,Street,Private_car,Trafico moderado,No,green,MB,0
0,0.25,0,Wednesday,M,30-39,0:00 a 01:59,4,80km/h,No,Yes,No,Peripheral,Truck,Poco trafico,No,green,B,1
0,0.328645175,0,Monday,M,20-29,08:00 a 09:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,No,green,B,0
0,0.330209292,0,Wednesday,F,30-39,16:00 a 17:59,4,50km/h,No,Yes,Yes,Street,Passenger_vehicle,Poco trafico,No,green,B,0
0,0.25,1,Wednesday,F,20-29,08:00 a 09:59,2,50km/h,No,Yes,No,Avenue,Private_car,Trafico moderado,No,green,B,0
0,0.25,0,Saturday,M,50-59,22:00 a 23:59,1,50km/h,No,Yes,No,Street,Passenger_vehicle,Trafico moderado,No,green,B,0
0,0.366112298,2,Tuesday,M,40-49,16:00 a 17:59,2,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Poco trafico,No,green,B,0
0,0.355047106,4,Tuesday,M,40-49,18:00 a 19:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,MB,0
0,0.367480384,1,Sunday,M,70+,22:00 a 23:59,4,50km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,No,green,MB,1
0,0.413769316,0,Sunday,M,20-29,18:00 a 19:59,2,50km/h,No,Yes,No,Street,Passenger_vehicle,Poco trafico,No,green,MB,0
0,0.287900875,2,Monday,M,30-39,10:00 a 11:59,4,60km/h,Yes,Yes,Yes,Peripheral,Private_car,Poco trafico,No,green,B,0
0,0.321590587,0,Thursday,M,20-29,14:00 a 15:59,2,50km/h,No,Yes,No,Avenue,Private_car,Trafico moderado,No,green,MB,0
0,0,0,Sunday,M,0-19,12:00 a 13:59,1,50km/h,No,Yes,No,Street,Passenger_vehicle,Poco trafico,No,green,B,1
0,0.3817549,1,Thursday,M,0-19,20:00 a 21:59,2,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,MB,1
0,0.34445327,1,Friday,M,50-59,08:00 a 09:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,MB,0
0,0.371263158,1,Friday,F,50-59,10:00 a 11:59,1,50km/h,No,No,No,Street,Private_car,Trafico moderado,No,green,B,0
0,0.343516389,0,Sunday,M,0-19,10:00 a 11:59,2,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,MB,0
0,0.25,2,Tuesday,M,40-49,22:00 a 23:59,3,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,0
315,0.268551552,4,Wednesday,M,40-49,18:00 a 19:59,1,50km/h,No,Yes,No,Street,Passenger_vehicle,Trafico moderado,Yes,green,B,0
0,0.2959838,0,Thursday,F,20-29,14:00 a 15:59,2,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,0
332,0.25,1,Monday,M,0-19,18:00 a 19:59,1,50km/h,No,Yes,No,Street,Passenger_vehicle,Trafico moderado,Yes,green,B,0
0,0.5,0,Tuesday,M,20-29,06:00 a 07:59,1,50km/h,No,Yes,No,Street,Passenger_vehicle,Poco trafico,No,orange,MB,0
0,0.326479194,0,Monday,M,40-49,14:00 a 15:59,2,50km/h,No,Yes,Yes,Avenue,Private_car,Trafico moderado,No,green,MB,0
0,0.25,0,Thursday,M,20-29,16:00 a 17:59,2,50km/h,No,Yes,No,Street,Private_car,Trafico moderado,No,green,B,0
486,0.296482856,3,Thursday,F,30-39,12:00 a 13:59,1,50km/h,No,Yes,No,Street,Private_car,Trafico moderado,Yes,green,B,0
282,0.317708333,1,Friday,M,20-29,14:00 a 15:59,2,50km/h,No,Yes,No,Avenue,Private_car,Trafico moderado,Yes,green,MB,0
0,0.297205971,0,Monday,M,30-39,18:00 a 19:59,2,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Trafico moderado,No,green,B,0
0,0.451456311,0,Monday,M,20-29,08:00 a 09:59,2,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Poco trafico,No,orange,MB,0
179,0.262898603,4,Tuesday,M,60-69,10:00 a 11:59,3,50km/h,No,Yes,No,Avenue,Private_car,Trafico moderado,Yes,green,B,0
0,0.364368557,1,Saturday,M,0-19,18:00 a 19:59,2,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Trafico moderado,No,green,MB,1
0,0.75,0,Monday,M,30-39,18:00 a 19:59,6,60km/h,No,Yes,No,Peripheral,Truck,Trafico moderado,No,red,A,0
779,0.318405051,3,Thursday,M,20-29,14:00 a 15:59,2,50km/h,No,Yes,No,Street,Passenger_vehicle,Trafico moderado,Yes,green,MB,0
244,0.393750748,1,Wednesday,M,20-29,10:00 a 11:59,3,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Trafico moderado,Yes,green,MB,0
